學年度,學期別,課號,永久課號,課程名稱,人數上限,上課時間,上課教室,學分,時數,開課教師,所屬系所名稱,選別,開課系所
101,1,5547,IBM6040,財經法律,9999,5IJK,,3,3,李志城,經營管理研究所,選修,經營管理研究所
101,1,5548,IBM6042,線性結構模式,9999,1BCD,,3,3,丁承,經營管理研究所,選修,經營管理研究所
101,1,5549,IBM6049,廣告學,9999,5BCD,,3,3,李宗儒,經營管理研究所,選修,經營管理研究所
101,1,5550,IBM6050,電子商務,9999,5EFG,,3,3,林君信,經營管理研究所,選修,經營管理研究所
101,1,5551,IBM6054,日本式經營管理,9999,3EFG,,3,3,曾芳代,經營管理研究所,選修,經營管理研究所
101,1,5552,IBM6070,整合行銷傳播,9999,3IJK,,3,3,唐瓔璋,經營管理研究所,選修,經營管理研究所
101,1,5553,IBM6081,職業生涯規劃,9999,2GHY,,3,3,曾芳代,經營管理研究所,選修,經營管理研究所
101,1,5554,IBM6087,統計方法與資料分析,9999,2BCD,,3,3,丁承,經營管理研究所,選修,經營管理研究所
101,1,5555,IBM6089,投資計畫評估,9999,5BCD,,3,3,張芳仁,經營管理研究所,選修,經營管理研究所
101,1,5556,IBM6094,行銷研究專題研討,9999,4IJK,,3,3,唐瓔璋,經營管理研究所,選修,經營管理研究所
101,1,5557,IBM6122,經營講座,9999,1IJK,,3,3,曾芳代,經營管理研究所,必修,經營管理研究所
101,1,5558,IBM6141,國際財務管理,9999,3IJK,,3,3,蔡炯民,經營管理研究所,選修,經營管理研究所
101,1,5560,IBM6147,生產與作業管理,9999,2BCD,,3,3,胡均立,經營管理研究所,必修,經營管理研究所
101,1,5561,IBM6151,平衡計分卡與管理實務,9999,3EFG,,3,3,梁博淞,經營管理研究所,選修,經營管理研究所
101,1,5562,IBM6155,標竿管理實務專題,9999,4BCD,,3,3,林嘉勳,經營管理研究所,選修,經營管理研究所
101,1,5565,IBM6161,全球科技策略,9999,4FGH,,3,3,姜真秀,經營管理研究所,選修,經營管理研究所
101,1,5567,ITL5353,英美侵權法(英文授課),9999,5EFG,MB,3,3,江浣翠,科技法律研究所,選修,科技法律研究所
101,1,5568,ITL5359,世界貿易組織法律(英文授課),9999,1FGH,MB,3,3,倪貴榮,科技法律研究所,選修,科技法律研究所
101,1,5571,ITL5398,世界貿易組織法律研究專題,9999,4BCD,MB,3,3,陳在方,科技法律研究所,選修,科技法律研究所
101,1,5572,ITL5409,通訊傳播法,9999,4BCD,MB,3,3,王立達,科技法律研究所,選修,科技法律研究所
